bowler,bowling Hand,bowling Type
YK Pathan,Right Handed,Right Arm Off Break
AB McDonald,Right Handed,Right Arm Medium
MJ Guptill,Right Handed,Right Arm Off Break
MG Neser,Right Handed,Right Arm Medium
K Santokie,Left Handed,Left Arm Medium
MK Pandey,Right Handed,Right Arm Off Break
Ishan Kishan,Left Handed,
PSP Handscomb,Right Handed,
KS Williamson,Right Handed,Right Arm Off Break
Avesh Khan,Right Handed,Right Arm Medium
TR Birt,Left Handed,Right Arm Medium Fast
AT Carey,Left Handed,Left Arm Medium Fast
AD Russell,Right Handed,Right Arm Fast
SS Cottrell,Right Handed,Left Arm Fast Medium
RS Gavaskar,Left Handed,Left Arm Orthodox
C de Grandhomme,Right Handed,Right Arm Fast Medium
M Vijay,Right Handed,Right Arm Off Break
IR Jaggi,Right Handed,Right Arm Leg Break
KC Cariappa,Right Handed,Right Arm Leg Break
KK Nair,Right Handed,Right Arm Off Break
S Badree,Right Handed,Right Arm Leg Break
K Rabada,Left Handed,Right Arm Fast
C Ganapathy,Right Handed,Right Arm Medium
CM Gautam,Right Handed,
WP Saha,Right Handed,
DJ Muthuswami,Right Handed,Right Arm Medium
J Theron,Right Handed,Right Arm Medium Fast
RA Jadeja,Left Handed,Left Arm Orthodox
JPR Scantlebury-Searles,Right Handed,Right Arm Fast Medium
JD Unadkat,Right Handed,Left Arm Medium
Washington Sundar,Left Handed,Right Arm Off Break
D Padikkal,Left Handed,Right Arm Leg Break
GC Smith,Left Handed,Right Arm Medium
DR Martyn,Right Handed,Right Arm Medium
UT Yadav,Right Handed,Right Arm Fast
DJ Thornely,Right Handed,Right Arm Medium
G Gambhir,Left Handed,Right Arm Leg Break
FH Edwards,Right Handed,Right Arm Fast
CJ Anderson,Left Handed,Left Arm Medium Fast
JM Bairstow,Right Handed,Right Arm Medium
MV Boucher,Right Handed,
SW Tait,Right Handed,Right Arm Fast
BJ Haddin,Right Handed,
TM Head,Left Handed,Right Arm Off Break
JP Behrendorff,Right Handed,Left Arm Fast Medium
T Shamsi,Right Handed,Left Arm Chinaman (Googly)
AP Majumdar,Right Handed,Right Arm Leg Break
MA Wood,Right Handed,Right Arm Fast Medium
DNT Zoysa,Left Handed,Left Arm Fast Medium
SJ Srivastava,Right Handed,Left Arm Fast Medium
IC Pandey,Right Handed,Right Arm Medium
MEK Hussey,Left Handed,Right Arm Medium
Swapnil Singh,Right Handed,Left Arm Orthodox
DE Bollinger,Left Handed,Left Arm Fast Medium
AUK Pathan,Right Handed,Right Arm Medium
KD Karthik,Right Handed,
BMAJ Mendis,Left Handed,Right Arm Leg Break
Mohammad Hafeez,Right Handed,Right Arm Off Break
SR Tendulkar,Right Handed,Right Arm Medium
NS Naik,Right Handed,Right Arm Off Break
A Nortje,Right Handed,Right Arm Fast
